longitude,city,beds,days_on_mls,rent,baths,latitude,neighborhood
-122.280432,Berkeley,Studio,1,1995.0,1.0,37.858409,West Berkeley
-122.275225,Berkeley,3,90,6800.0,3.0,37.858003,Central Berkeley
-122.278414,Berkeley,2,1,3598.0,1.0,37.857376,Central Berkeley
-122.289124,Berkeley,2,1,3337.97,1.0,37.864485,West Berkeley
-122.282512,Berkeley,4,1,6000.0,3.0,37.856099,West Berkeley
-122.250433,Berkeley,Studio,6,1976.67,,37.868137,Southside
-122.263452,Berkeley,5,266,6575.0,3.0,37.864906,Southside
-122.257378,Berkeley,Studio,180,1795.0,1.0,37.86458,Southside
-122.251178,Berkeley,5,1,6982.0,3.0,37.864767,Southside
-122.26449,Berkeley,2,20,3695.0,1.0,37.862114,Southside
-122.274851,Berkeley,2,75,2095.0,1.0,37.863962,Central Berkeley
-122.257937,Berkeley,Studio,6,1976.67,,37.862648,Southside
-122.251209,Berkeley,1,263,2000.0,1.0,37.865078,Southside
-122.281627,Berkeley,1,1,2300.0,1.0,37.862356,West Berkeley
-122.256882,Berkeley,1,130,2495.0,1.0,37.863581,Southside
-122.259638,Berkeley,2,118,2995.0,1.0,37.853369,Claremont Elmwood
-122.271344,Berkeley,3,1,3400.0,1.0,37.873273,Central Berkeley
-122.253523,Berkeley,3,226,5990.0,1.0,37.868187,Southside
-122.259648,Berkeley,1,8,1795.0,1.0,37.864701,Southside
-122.252029,Berkeley,Studio,1,1976.67,,37.866493,Southside
-122.269124,Berkeley,1,117,2695.0,1.0,37.865851,Southside
-122.269124,Berkeley,2,117,2995.0,1.0,37.865851,Southside
-122.256076,Berkeley,Studio,159,2295.0,1.0,37.866532,Southside
-122.256076,Berkeley,1,159,2295.0,1.0,37.866532,Southside
-122.256076,Berkeley,2,159,2295.0,1.0,37.866532,Southside
-122.256076,Berkeley,3,159,2295.0,1.0,37.866532,Southside
-122.290111,Berkeley,Studio,1,1500.0,1.0,37.869035,West Berkeley
-122.253649,Berkeley,Studio,147,1695.0,1.0,37.859402,Claremont Elmwood
-122.279886,Berkeley,Studio,0,1695.0,1.0,37.869508,Central Berkeley
-122.279952,Berkeley,3,1,3950.0,2.0,37.868914,Central Berkeley
-122.273011,Berkeley,Studio,1,1976.67,,37.868204,Southside
-122.276576,Berkeley,Studio,76,1667.0,,37.872271,Central Berkeley
-122.254683,Berkeley,3,65,5595.0,1.0,37.863978,Southside
-122.28177,Berkeley,2,48,2928.0,1.0,37.872471,Central Berkeley
-122.253263,Berkeley,2,117,2995.0,1.0,37.862601,Southside
