longitude,beds,days_on_mls,rent,baths,latitude,distance_to_ucb_km
-122.280627,0.0,10,1900.0,1.0,37.851164,2.8143252105520755
-122.266623,2.0,180,2850.0,2.0,37.854365,1.8685091027906797
-122.269345,1.0,91,2362.0,1.0,37.855761,1.8233781995474232
-122.252946,0.0,31,1995.0,1.0,37.859141,1.3576403809845201
-122.263448,2.0,40,2775.0,1.0,37.860165,1.1684228534586008
-122.275488,2.0,101,2400.0,1.0,37.858595,1.9065644273789057
-122.253829,0.0,2,1976.67,,37.861213,1.1164409189620839
-122.280432,0.0,1,1995.0,1.0,37.858409,2.2573039040992966
-122.275225,3.0,90,6800.0,3.0,37.858003,1.9351880871999405
-122.278414,2.0,1,3598.0,1.0,37.857376,2.188653679127576
-122.289124,2.0,1,3337.97,1.0,37.864485,2.6769479536401484
-122.282512,4.0,1,6000.0,3.0,37.856099,2.557231710906302
-122.250433,0.0,6,1976.67,,37.868137,0.8282903619611978
-122.263452,5.0,266,6575.0,3.0,37.864906,0.6832817762864177
-122.257378,0.0,180,1795.0,1.0,37.86458,0.6520861632050602
-122.251178,5.0,1,6982.0,3.0,37.864767,0.9479515463816606
-122.26449,2.0,20,3695.0,1.0,37.862114,1.000147472594352
-122.274851,2.0,75,2095.0,1.0,37.863962,1.5155759038368544
-122.257937,0.0,6,1976.67,,37.862648,0.8508789188795355
-122.251209,1.0,263,2000.0,1.0,37.865078,0.9241506365383866
-122.281627,1.0,1,2300.0,1.0,37.862356,2.1292056438582287
-122.256882,1.0,130,2495.0,1.0,37.863581,0.7710437835034076
-122.259638,2.0,118,2995.0,1.0,37.853369,1.8715610202722908
-122.271344,3.0,1,3400.0,1.0,37.873273,1.0943325091704497
-122.253523,3.0,226,5990.0,1.0,37.868187,0.5704071884694484
-122.259648,1.0,8,1795.0,1.0,37.864701,0.611598900688552
-122.252029,0.0,1,1976.67,,37.866493,0.7745880252295632
-122.269124,1.0,117,2695.0,1.0,37.865851,0.973415811928061
-122.269124,2.0,117,2995.0,1.0,37.865851,0.973415811928061
-122.256076,0.0,159,2295.0,1.0,37.866532,0.5066433131905661
-122.256076,1.0,159,2295.0,1.0,37.866532,0.5066433131905661
-122.256076,2.0,159,2295.0,1.0,37.866532,0.5066433131905661
-122.256076,3.0,159,2295.0,1.0,37.866532,0.5066433131905661
-122.290111,0.0,1,1500.0,1.0,37.869035,2.6901040822903126
-122.253649,0.0,147,1695.0,1.0,37.859402,1.3059286306318212
-122.279886,0.0,0,1695.0,1.0,37.869508,1.7910974133695559
-122.279952,3.0,1,3950.0,2.0,37.868914,1.8009304465949514
-122.273011,0.0,1,1976.67,,37.868204,1.2065688047204866
-122.276576,0.0,76,1667.0,,37.872271,1.5164574315216277
-122.254683,3.0,65,5595.0,1.0,37.863978,0.8108385680420155
-122.28177,2.0,48,2928.0,1.0,37.872471,1.9710217500827487
-122.253263,2.0,117,2995.0,1.0,37.862601,1.0068407197946687
-122.264359,3.0,198,4575.0,1.0,37.875103,0.6921927715618774
-122.254042,0.0,6,1976.67,,37.86288,0.9444892702004352
-122.253548,5.0,233,8990.0,2.0,37.868263,0.5651145466579629
-122.27375,2.0,1,2295.0,1.0,37.851688,2.408765272906061
-122.280167,0.0,1,1950.0,1.0,37.860245,2.1252611844763827
-122.286957,0.0,274,2625.0,1.0,37.851864,3.157067171576489
-122.286957,1.0,274,3387.5,1.5,37.851864,3.157067171576489
-122.286957,2.0,274,4150.0,2.0,37.851864,3.157067171576489
-122.264259,2.0,59,950.0,1.0,37.864643,0.7458738417598558
-122.268135,2.0,313,2995.0,1.0,37.867119,0.8318031778375143
-122.294098,,0,3301.35,,37.862789,3.146897636415123
-122.260765,0.0,1,1895.0,,37.8634,0.7642359017491979
-122.263954,,178,3301.35,,37.862831,0.9078960211227612
-122.276428,2.0,61,2500.0,1.0,37.868736,1.4948056048796168
-122.275635,2.0,82,2900.0,1.0,37.872002,1.430379322233178
-122.270241,2.0,117,3795.0,1.0,37.864239,1.1525314445400967
-122.267006,1.0,12,2729.0,1.0,37.869205,0.6680884572923254
-122.25013,2.0,353,3800.0,2.0,37.866135,0.9385179209627821
-122.261452,2.0,109,3795.0,1.0,37.883282,1.4647065902210743
-122.26207,2.0,17,1647.0,1.0,37.866753,0.4447504723338481
-122.274676,1.0,0,2495.0,1.0,37.869098,1.3377477149009627
-122.262265,2.0,222,2600.0,1.0,37.866733,0.4555532123398549
-122.255165,1.0,1,2030.0,1.0,37.860111,1.184630726495923
-122.267326,0.0,110,3449.0,1.0,37.872738,0.742647486064911
-122.267326,1.0,110,4528.67,1.3,37.872738,0.742647486064911
-122.267326,2.0,110,5608.33,1.7,37.872738,0.742647486064911
-122.267326,3.0,110,6688.0,2.0,37.872738,0.742647486064911
-122.280617,0.0,10,1900.0,1.0,37.851158,2.8142487121359343
-122.265076,1.0,54,2895.0,1.0,37.87455,0.6881199917147123
-122.289581,0.0,37,2095.0,1.0,37.86871,2.6456593554805425
-122.272643,0.0,98,1165.0,1.0,37.870897,1.1562567422571783
-122.272643,1.0,98,3108.33,1.3,37.870897,1.1562567422571783
-122.272643,2.0,98,5051.67,1.7,37.870897,1.1562567422571783
-122.272643,3.0,98,6995.0,2.0,37.870897,1.1562567422571783
-122.283524,1.0,43,2975.0,1.0,37.8657,2.1673859930480024
-122.274307,0.0,1,1850.0,1.0,37.86945,1.3024032217956871
-122.259598,0.0,155,2000.0,1.0,37.875435,0.5821689936754608
-122.253349,1.0,10,2500.0,2.0,37.856544,1.6116275145382846
-122.264252,8.0,272,13000.0,3.0,37.862366,0.9658282350107582
-122.274277,2.0,155,2600.0,1.0,37.880459,1.7272860787251056
-122.261986,0.0,329,1850.0,1.0,37.865318,0.5850736047534113
-122.261986,1.0,329,2195.0,1.0,37.865318,0.5850736047534113
-122.269356,2.0,1,3195.0,1.0,37.857536,1.6527371099351513
-122.285789,1.0,9,2750.0,1.0,37.870918,2.3089563968120155
-122.282822,2.0,153,2250.0,1.0,37.853115,2.7930101262890132
-122.275841,1.0,64,2550.0,1.0,37.860695,1.7817829292650702
-122.259056,2.0,10,2400.0,1.0,37.853607,1.8454690823026338
-122.298965,1.0,252,3880.0,1.0,37.867413,3.478044748562235
-122.276505,2.0,98,2195.0,1.0,37.848743,2.8144705293855417
-122.253548,5.0,233,8990.0,2.0,37.868263,0.5651145466579629
-122.265915,0.0,10,1350.0,1.0,37.86628,0.7120999508602115
-122.262993,1.0,10,2400.0,1.0,37.888634,2.072566150752971
-122.258148,3.0,1,6200.0,2.0,37.884514,1.596061499236285
-122.259201,,0,3301.35,,37.856434,1.5309343883437578
-122.27108,0.0,345,3455.0,1.0,37.871464,1.0261278799338087
-122.27108,1.0,345,5427.5,1.8,37.871464,1.0261278799338087
-122.27108,2.0,345,7400.0,2.5,37.871464,1.0261278799338087
-122.266258,1.0,314,3195.0,1.0,37.867367,0.6716666326720984
-122.286461,1.0,84,2295.0,1.0,37.872017,2.3751532011081835
-122.286461,2.0,84,2295.0,1.0,37.872017,2.3751532011081835
-122.262215,2.0,145,2295.0,1.0,37.855602,1.6406281091163575
,0.0,147,1445.0,1.0,,
,1.0,147,4198.5,1.5,,
,2.0,147,6952.0,2.0,,
,1.0,2,2495.0,1.0,,
-122.269112,0.0,181,1895.0,1.0,37.871838,0.8631452450506463
-122.270828,1.0,20,2200.0,1.0,37.880745,1.5373535140435797
-122.249295,0.0,6,1976.67,,37.866519,0.9848752706529867
-122.253548,3.0,226,5990.0,1.0,37.868263,0.5651145466579629
,0.0,92,1560.0,1.0,,
,1.0,92,3956.67,1.3,,
,2.0,92,6353.33,1.7,,
,3.0,92,8750.0,2.0,,
-122.281609,,1,3301.35,,37.864269,2.049747333574332
-122.259735,0.0,197,1650.0,1.0,37.859161,1.2276541330883626
,0.0,230,1795.0,1.0,,
-122.258228,0.0,45,875.0,,37.878376,0.91595955069908
-122.254097,0.0,1,1976.67,,37.8685,0.510551821674117
-122.280617,0.0,10,1900.0,1.0,37.851158,2.8142487121359343
-122.296542,1.0,134,1950.0,1.0,37.870505,3.2516302452912353
-122.28569,0.0,11,1570.0,1.0,37.861832,2.480185230796452
-122.273659,4.0,159,4400.0,1.0,37.875557,1.3781773697828497
-122.273659,5.0,159,5150.0,1.5,37.875557,1.3781773697828497
-122.273659,6.0,159,5900.0,2.0,37.875557,1.3781773697828497
-122.284164,1.0,33,1900.0,1.0,37.870743,2.1657820537883654
-122.253258,1.0,10,2350.0,1.0,37.85651,1.6178783043287
-122.279114,1.0,9,2145.0,1.0,37.859196,2.1122887641857195
-122.265152,0.0,329,1995.0,1.0,37.864979,0.7636678916116354
-122.264977,0.0,365,1250.0,1.0,37.86462,0.7849370384382928
-122.264977,1.0,365,2462.5,1.2,37.86462,0.7849370384382928
-122.264977,2.0,365,3675.0,1.5,37.86462,0.7849370384382928
-122.264977,3.0,365,4887.5,1.8,37.86462,0.7849370384382928
-122.264977,4.0,365,6100.0,2.0,37.86462,0.7849370384382928
-122.265465,3.0,166,3300.0,1.0,37.856754,1.5841733294158695
-122.274193,3.0,33,3600.0,2.0,37.877583,1.52877929296016
-122.265152,0.0,1,1995.0,1.0,37.864979,0.7636678916116354
