longitude,beds,days_on_mls,rent,baths,latitude
-122.253548,5.0,233,8990.0,2.0,37.868263
-122.27375,2.0,1,2295.0,1.0,37.851688
-122.280167,0.0,1,1950.0,1.0,37.860245
-122.286957,0.0,274,2625.0,1.0,37.851864
-122.286957,1.0,274,3387.5,1.5,37.851864
-122.286957,2.0,274,4150.0,2.0,37.851864
-122.264259,2.0,59,950.0,1.0,37.864643
-122.268135,2.0,313,2995.0,1.0,37.867119
-122.294098,,0,3301.35,,37.862789
-122.260765,0.0,1,1895.0,,37.8634
-122.263954,,178,3301.35,,37.862831
-122.276428,2.0,61,2500.0,1.0,37.868736
-122.275635,2.0,82,2900.0,1.0,37.872002
-122.270241,2.0,117,3795.0,1.0,37.864239
-122.267006,1.0,12,2729.0,1.0,37.869205
-122.25013,2.0,353,3800.0,2.0,37.866135
-122.261452,2.0,109,3795.0,1.0,37.883282
-122.26207,2.0,17,1647.0,1.0,37.866753
-122.274676,1.0,0,2495.0,1.0,37.869098
-122.262265,2.0,222,2600.0,1.0,37.866733
-122.255165,1.0,1,2030.0,1.0,37.860111
-122.267326,0.0,110,3449.0,1.0,37.872738
-122.267326,1.0,110,4528.67,1.3,37.872738
-122.267326,2.0,110,5608.33,1.7,37.872738
-122.267326,3.0,110,6688.0,2.0,37.872738
-122.280617,0.0,10,1900.0,1.0,37.851158
-122.265076,1.0,54,2895.0,1.0,37.87455
-122.289581,0.0,37,2095.0,1.0,37.86871
-122.272643,0.0,98,1165.0,1.0,37.870897
-122.272643,1.0,98,3108.33,1.3,37.870897
-122.272643,2.0,98,5051.67,1.7,37.870897
-122.272643,3.0,98,6995.0,2.0,37.870897
-122.283524,1.0,43,2975.0,1.0,37.8657
-122.274307,0.0,1,1850.0,1.0,37.86945
-122.259598,0.0,155,2000.0,1.0,37.875435
-122.253349,1.0,10,2500.0,2.0,37.856544
-122.264252,8.0,272,13000.0,3.0,37.862366
-122.274277,2.0,155,2600.0,1.0,37.880459
-122.261986,0.0,329,1850.0,1.0,37.865318
-122.261986,1.0,329,2195.0,1.0,37.865318
-122.269356,2.0,1,3195.0,1.0,37.857536
-122.285789,1.0,9,2750.0,1.0,37.870918
-122.282822,2.0,153,2250.0,1.0,37.853115
-122.275841,1.0,64,2550.0,1.0,37.860695
-122.259056,2.0,10,2400.0,1.0,37.853607
-122.298965,1.0,252,3880.0,1.0,37.867413
-122.276505,2.0,98,2195.0,1.0,37.848743
-122.253548,5.0,233,8990.0,2.0,37.868263
-122.265915,0.0,10,1350.0,1.0,37.86628
-122.262993,1.0,10,2400.0,1.0,37.888634
-122.258148,3.0,1,6200.0,2.0,37.884514
-122.259201,,0,3301.35,,37.856434
-122.27108,0.0,345,3455.0,1.0,37.871464
-122.27108,1.0,345,5427.5,1.8,37.871464
-122.27108,2.0,345,7400.0,2.5,37.871464
-122.266258,1.0,314,3195.0,1.0,37.867367
-122.286461,1.0,84,2295.0,1.0,37.872017
-122.286461,2.0,84,2295.0,1.0,37.872017
-122.262215,2.0,145,2295.0,1.0,37.855602
,0.0,147,1445.0,1.0,
,1.0,147,4198.5,1.5,
