longitude,city,beds,days_on_mls,rent,baths,zip_code,latitude
-122.270573,Berkeley,2,50,$2550.00/mo,1.0,94703,37.84821
-122.272173,Berkeley,2,296,$2950.00/mo,1.0,94709,37.881532
-122.277213,Berkeley,2,8,$2500.00/mo,1.0,94703,37.850496
-122.265363,Berkeley,,30,$3301.35/mo,,94704,37.863048
-122.274703,Berkeley,1,47,$2050.00/mo,1.0,94703,37.85229
-122.276268,Berkeley,2,18,$2650.00/mo,1.0,94703,37.852082
-122.280627,Berkeley,Studio,10,$1900.00/mo,1.0,94702,37.851164
-122.266623,Berkeley,2,180,$2850.00/mo,2.0,94705,37.854365
-122.269345,Berkeley,1,91,$2362.00/mo,1.0,94703,37.855761
-122.252946,Berkeley,Studio,31,$1995.00/mo,1.0,94705,37.859141
-122.263448,Berkeley,2,40,$2775.00/mo,1.0,94705,37.860165
-122.275488,Berkeley,2,101,$2400.00/mo,1.0,94703,37.858595
-122.253829,Berkeley,Studio,2,$1976.67/mo,,94705,37.861213
-122.280432,Berkeley,Studio,1,$1995.00/mo,1.0,94702,37.858409
-122.275225,Berkeley,3,90,$6800.00/mo,3.0,94703,37.858003
-122.278414,Berkeley,2,1,$3598.00/mo,1.0,94703,37.857376
-122.289124,Berkeley,2,1,$3337.97/mo,1.0,94702,37.864485
-122.282512,Berkeley,4,1,$6000.00/mo,3.0,94702,37.856099
-122.250433,Berkeley,Studio,6,$1976.67/mo,,94704,37.868137
-122.263452,Berkeley,5,266,$6575.00/mo,3.0,94704,37.864906
-122.257378,Berkeley,Studio,180,$1795.00/mo,1.0,94704,37.86458
-122.251178,Berkeley,5,1,$6982.00/mo,3.0,94704,37.864767
-122.26449,Berkeley,2,20,$3695.00/mo,1.0,94704,37.862114
-122.274851,Berkeley,2,75,$2095.00/mo,1.0,94703,37.863962
-122.257937,Berkeley,Studio,6,$1976.67/mo,,94704,37.862648
-122.251209,Berkeley,1,263,$2000.00/mo,1.0,94704,37.865078
-122.281627,Berkeley,1,1,$2300.00/mo,1.0,94702,37.862356
-122.256882,Berkeley,1,130,$2495.00/mo,1.0,94704,37.863581
-122.259638,Berkeley,2,118,$2995.00/mo,1.0,94705,37.853369
-122.271344,Berkeley,3,1,$3400.00/mo,1.0,94703,37.873273
-122.253523,Berkeley,3,226,$5990.00/mo,1.0,94704,37.868187
-122.259648,Berkeley,1,8,$1795.00/mo,1.0,94704,37.864701
-122.252029,Berkeley,Studio,1,$1976.67/mo,,94704,37.866493
-122.269124,Berkeley,1,117,$2695.00/mo,1.0,94704,37.865851
-122.269124,Berkeley,2,117,$2995.00/mo,1.0,94704,37.865851
-122.256076,Berkeley,Studio,159,$2295.00/mo,1.0,94704,37.866532
